"HyrCV";"HYR";"MPGRP";"TI";"INTRO";"POS"
"0003624";"DABA";false;"Anticholinergiques à courte durée d’action (SAMA)";;
"0002725";"CC";false;"Pathologie du foie, de la vésicule biliaire et du pancréas";"Ce chapitre reprend successivement:
  
  - l’acide ursodéoxycholique 
  - les cholagogues, cholérétiques et hépatotropes 
  - les ferments digestifs. 
 
Les sujets suivants sont discutés dans d'autres chapitres.
  
  - Intoxication par le paracétamol avec risque de nécrose hépatique: l’administration intraveineuse d’acétylcystéine est nécessaire ([voir 20.1.1.7. Acétylcystéine en cas d'intoxication au paracétamol](http://www.cbip.be/fr/contents/19257)). 
  - Intoxication par l'_Amanite phalloïde_: silibiline ([voir 20.1.2.3. Silibinine en cas d'intoxication par des amatoxines (amanite phalloïde)](http://www.cbip.be/fr/contents/19307)). 
  - Prévention de l'hépatite A ([voir 12.1.1.6. Vaccin contre l'hépatite A](http://www.cbip.be/fr/contents/11320)) et de l'hépatite B ([ 12.1.1.7. Vaccin contre l'hépatite B](http://www.cbip.be/fr/contents/11346)) 
  - Hépatite B et hépatite C chroniques: divers immunomodulateurs, antirétroviraux, antiviraux spécifiques ([voir 11.4.4. Médicaments de l'hépatite B chronique](http://www.cbip.be/fr/contents/11213) _et_ [11.4.5. Médicaments de l'hépatite C chronique](http://www.cbip.be/fr/contents/25130)). 
 ";
"0002733";"CCA";false;"Acide ursodéoxycholique";"L'acide ursodéoxycholique, un acide biliaire, modifie la composition de la bile, entre autres en diminuant la concentration en cholestérol.
 

**_Positionnement_**

  
  - Lithiase cholestérolique: l’acide ursodéoxycholique peut être utilisé en cas de vésicule biliaire fonctionnelle avec microlithiase radiotransparente, et pour laquelle une intervention chirurgicale est contre-indiquée. L'utilisation de l'acide ursodésoxycholique en prévention des récidives de lithiase intrahépatique ou de lithiase cholédocienne est peu étayée. 
  - Cholangite biliaire primitive: l’acide ursodésoxycholique constitue le traitement le mieux étayé et améliore les paramètres biochimiques et histologiques lorsque le traitement est débuté à un stade précoce de la maladie. L’effet sur la fatigue et le prurit est variable. L’influence sur la survie n’est pas claire. 
  - Cholangite sclérosante primitive (indication non mentionnée dans le RCP): les données sur base desquelles l’acide ursodésoxycholique est utilisé sont faibles. 
  - Cholestase intrahépatique de la grossesse (indication non mentionnée dans le RCP): l'acide ursodésoxycholique diminue les démangeaisons et améliore les tests hépatiques, mais il ne semble pas diminuer la morbidité ou la mortalité fœtale. 
 

**_Indications (synthèse du RCP)_**

  
  - Microlithiase biliaire. 
  - Cholangite biliaire primitive. 
 

**_Contre-indications_**

  
  - Calculs biliaires radio-opaques, vésicule biliaire non fonctionnelle, coliques biliaires récurrentes. 
  - Inflammation aiguë de la vésicule biliaire, de l'intestin grêle, du côlon ou du foie interférant avec le cycle entérohépatique des sels biliaires. 
  - Affections hépatiques aiguës, insuffisance hépatique (RCP). 
 

**_Effets indésirables_**

  
  - Diarrhée et autres troubles gastro-intestinaux. 
 

**_Grossesse et allaitement_**

  
  - 1er trimestre: il n’est pas possible de se prononcer sur la sécurité d’emploi pendant la grossesse (données insuffisantes). 
  - 2e et 3e  trimestre: les données d’utilisation pendant la grossesse sont rassurantes (pas de signal de malformations congénitales ou d’autres effets indésirables chez l'enfant selon nos sources). 
  - Allaitement : les données d’utilisation sont rassurantes. 
 ";
"0002741";"CCAA";true;"Spécialités [Acide ursodéoxycholique]";;
"0002758";"CCB";false;"Cholagogues, cholérétiques et hépatotropes";"Ces médicaments sont proposés pour un large éventail de symptômes dans la sphère hépato-biliaire.
 

**_Positionnement_**

  
  - L'efficacité de ces produits n'est pas suffisamment prouvée. L'utilisation d'artichaut (_Cyrana scolymus_) et de chardon marie (_Silybum marianum_) repose sur “l'usage traditionnel” [[voir Folia d'avril 2011](http://www.cbip.be/fr/articles/query?number=F38F04E)]. 
 

**_Indications (synthèse du RCP)_**

  
  - Cholagogue et cholérétique (hors pathologie sévère). 
 

**_Contre-indications_**

  
  - Angiocholite, calculose du cholédoque, cancer du foie ou des voies biliaires. 
  - Cynara scolymus: insuffisance hépatique sévère. 
 

**_Effets indésirables_**

  
  - Excédent de sécrétions biliaires, diarrhée, effet laxatif. 
 

**_Grossesse et allaitement_**

  
  - Il n’est pas possible de se prononcer sur la sécurité d’emploi de ces préparations pendant la grossesse et l’allaitement (données insuffisantes).  
 ";
"0002766";"CCBA";true;"Spécialités [Cholagogues, cholérétiques et hépatotropes]";;
"0002774";"CCC";false;"Ferments digestifs";"La pancréatine contient différentes enzymes dont des amylases, des lipases et des protéases. Ces enzymes sont inactivées dans l'estomac, et un enrobage entérique est indispensable. Un inhibiteur de la pompe à protons peut être administré au préalable pour protéger l’enrobage.
 

**_Indications (synthèse du RCP)_**

  
  - Insuffisance pancréatique exocrine. 
 

**_Effets indésirables_**

  
  - Troubles gastro-intestinaux, irritation buccale et péri-anale, réactions allergiques. 
  - Sténose du cæcum et du côlon ascendant (_fibrosing colonopathy_) chez les enfants atteints de mucoviscidose qui ont été traités pendant une période prolongée par des doses élevées d'enzymes pancréatiques. 
 

**_Grossesse et allaitement_**

  
  - Les données d’utilisation pendant la grossesse et l’allaitement sont rassurantes (RCP).  
 

**_Posologie_**

  
  - Selon les besoins, et selon l’avis du spécialiste, maximum 10.000 U/kg/jour de lipase (unités définies par la Pharmacopée européenne). 
 ";
"0002782";"CCCA";true;"Pancréatine";;
"0002816";"CD";false;"Antiémétiques";"En cas de vomissements, on utilise essentiellement:
  
  - les gastroprocinétiques 
  - les antagonistes 5HT3 
  - les antagonistes NK1. 
 
Ont une place limitée:
  
  - les corticostéroïdes ([voir 5.4. Corticostéroïdes](http://www.cbip.be/fr/contents/4887)) 
  - certains antihistaminiques H1 ([voir 12.4.1. Antihistaminiques H1](http://www.cbip.be/fr/contents/12336)) 
  - certains antipsychotiques ([voir 10.2. Antipsychotiques](http://www.cbip.be/fr/contents/7799)) 
 

**_Positionnement_**

  
  - Le traitement symptomatique des nausées et des vomissements n'est justifié qu'après avoir recherché les étiologies possibles. Le métoclopramide et la dompéridone sont les mieux étudiés. 
  - Les vomissements survenant après un excès alimentaire ou éthylique ne requièrent que rarement un traitement particulier. Nous ne disposons pas d’études incluant ces patients. 
  - Vomissements dans le contexte d’une gastro-entérite: il n’existe pas d’étude contrôlée portant sur le métoclopramide ou la dompéridone dans ce tableau clinique. 
  - En milieu hospitalier, l’ondansétron (par voie orale ou IV) est parfois administré en dose unique _off label_ chez des enfants présentant des vomissements sévères sur gastro-entérite et à risque de déshydratation. Cette pratique est étayée dans des études cliniques de bonne qualité. 
  - En prévention du mal du transport (mal du voyage), une prise en charge médicamenteuse peut être envisagée [[voir 17.2.3. Mal des transports](http://www.cbip.be/fr/contents/8901365)]. La dompéridone et le métoclopramide ([voir 3.4.1. Gastroprocinétiques](http://www.cbip.be/fr/contents/2824)) ne sont pas efficaces. 
  - Nausées et vomissements pendant la grossesse: voir la rubrique “Grossesse et allaitement”. 
  - Pour prévenir les nausées et les vomissements postopératoires, des antagonistes 5HT3, des corticostéroïdes, du métoclopramide ou de faibles doses de dropéridol sont souvent administrés en association ou non [[voir Folia de juillet 2016](http://www.cbip.be/fr/articles/query?number=F43F07B)]. 
  - La prise de médicaments peut provoquer des nausées et des vomissements: l’administration du médicament responsable sera interrompue dans la mesure du possible. 
  - Certains cytostatiques et la radiothérapie provoquent des nausées et des vomissements, ce qui peut nécessiter l'administration (préventive) d'antiémétiques. En fonction du type de chimiothérapie et de son pouvoir émétogène (élevé, intermédiaire ou faible), des antagonistes 5HT3, des antagonistes NK1, l'alizapride ou le métoclopramide peuvent être administrés. L’alizapride par voie orale est en interruption de commercialisation. En cas de vomissements persistants après une chimiothérapie, des corticostéroïdes sont utilisés en association à des antiémétiques classiques, sur base de l’expérience clinique. 
 

**_Grossesse et allaitement_**

  
  - Nausées et vomissements pendant la grossesse [[voir Folia de mars 2020](http://www.cbip.be/fr/articles/query?number=F47F03B)] 
    - Les nausées et vomissements en début de grossesse régressent généralement spontanément ou grâce à des mesures diététiques. En cas de plaintes sévères, un antiémétique s'avérera nécessaire. **La prudence s'impose particulièrement ici, ces symptômes survenant à un moment critique de l'organogenèse.** 
    - Pour aucun antiémétique, l'absence de tératogénicité n'a été clairement prouvée. 
    - Les antiémétiques suivants sont les mieux documentés: la doxylamine, le dimenhydrinate et le métoclopramide [[voir Folia de mars 2012](http://www.cbip.be/fr/articles/query?number=F39F03C) _et_ [Folia de mars 2020](http://www.cbip.be/fr/articles/query?number=F47F03B)]; 
    - Dans les formes sévères d’_hyperemesis gravidarum_, l’ondansétron est parfois utilisé “_off-label_”. L’usage de l’ondansétron pendant le premier trimestre de la grossesse est déconseillé, des données suggérant un risque de malformations oro-faciales. Un risque de malformation cardiaque n’est pas exclu [[voir Folia de février 2020](http://www.cbip.be/fr/articles/query?number=F47F02C)]. 
    - Itopride: les données d’utilisation pendant la grossesse et l’allaitement sont très limitées. Selon le RCP, il pourrait être utilisé pendant la grossesse. Il est déconseillé pendant l’allaitement. 
    - Alizapride: il n'est pas possible de se prononcer sur la sécurité de l’alizapride pendant la grossesse (peu ou pas d’informations).  
  - L’utilisation de la dompéridone pour stimuler la lactation n’a pas d’effet démontré pour des enfants nés à terme. Chez les mères d’enfants prématurés, des données montrent un effet limité  dans des cas spécifiques et à court terme. Il y a encore beaucoup d’incertitudes et il faut être conscient du risque d’allongement de l’intervalle QT. Le métoclopramide n’est jamais recommandé dans cette indication [[voir Folia de novembre 2017](http://www.cbip.be/fr/articles/query?number=F44F11C)]. 
 ";
"0002824";"CDA";false;"Gastroprocinétiques";"L'alizapride, la dompéridone, le métoclopramide et l’itopride sont des substances chimiquement apparentées aux antipsychotiques. Elles augmentent le tonus du sphincter inférieur de l’œsophage et le péristaltisme coordonné antroduodénal, avec pour conséquence l'accélération de la vidange gastrique.
 

**_Positionnement_**

  
  - [Voir 3.4. Antiémétiques](http://www.cbip.be/fr/contents/2816) 
  - L’efficacité du métoclopramide et de la dompéridone dans les nausées et vomissements n’a pas été démontrée  en pratique ambulatoire chez les enfants de moins de 12 ans. Les enfants présentent un risque accru d’effets indésirables. Des mesures non-médicamenteuses sont à préférer (boissons et nourriture en petites quantités). 
  - La dompéridone et le métoclopramide sont parfois utilisés pour stimuler la lactation (indication non mentionnée dans les RCP). Chez les mères d’enfants prématurés, la dompéridone peut être une option dans certains cas et à court terme, mais il existe de nombreuses incertitudes et il faut être conscient du risque d'allongement de l’intervalle QT par la dompéridone; le métoclopramide est toujours à déconseiller dans cette indication [[voir Folia de novembre 2017](http://www.cbip.be/fr/articles/query?number=F44F11C)]. 
  - L’efficacité de l’itopride dans la dyspepsie fonctionnelle n’est pas établie [voir Folia d’octobre 2023]. 
 

**_Indications (synthèse du RCP)_**

  
  - Nausées et vomissements d'origines diverses (métoclopramide: aussi chez l’enfant). 
  - Hoquet persistant (métoclopramide par voie intraveineuse). 
  - Itopride: dyspepsie fonctionnelle chez l’adulte. 
 

**_Contre-indications_**

  
  - Situations où la motricité gastrique ne peut pas être accélérée (p.ex.  hémorragie gastro-intestinale, obstruction ou perforation digestive). 
  - Alizapride et métoclopramide: antécédents de dyskinésie tardive suite à un traitement par des antipsychotiques, maladie de Parkinson, phéochromocytome. 
  - Métoclopramide: contre-indiqué chez les enfants de moins d'un an et déconseillé chez les enfants et les adolescents [[voir Folia d'octobre 2013](http://www.cbip.be/fr/articles/query?number=F40F10D)], épilepsie. 
  - Dompéridone: enfants de moins de 12 ans et adolescents pesant moins de 35 kg, prolactinome; facteurs de risque d’allongement de l’intervalle QT ([voir Intro.6.2.2. Allongement de l’intervalle QT et torsades de pointes](http://www.cbip.be/fr/contents/9990169)) (_voir rubrique “Effets indésirables”_). Insuffisance hépatique (RCP); sur le site Web geneesmiddelenbijlevercirrose.nl, la dompéridone est considérée comme “à éviter” en cas de cirrhose hépatique. 
 

**_Effets indésirables_**

  
  - Hyperprolactinémie, responsable dans de rares cas de galactorrhée, d’irrégularité menstruelle ou d'impuissance. 
  - Effets centraux: somnolence et, surtout chez les enfants et les adolescents, troubles extrapyramidaux (entre autres spasmes musculaires) ; dyskinésies tardives en cas d’utilisation prolongée, surtout chez les personnes âgées, moins fréquent avec la dompéridone, et probablement aussi avec l’itopride. 
  - Crampes abdominales ou diarrhée. 
  - Métoclopramide 
    - Aussi  hypotension, dépression. 
    - En intraveineux: aussi risque de bradycardie sévère.  
  - Dompéridone 
    - Aussi **allongement de l'intervalle QT** en cas de doses élevées (&gt; 30 mg p.j.) et chez les personnes âgées de plus de 60 ans. Les données quant à un risque de torsades de pointes et de mort subite sont limitées [[voir Folia d'avril 2014](http://www.cbip.be/fr/articles/query?number=F41F04H)]; pour les facteurs de risque d'allongement de l'intervalle QT et de torsades de pointes, [voir Intro.6.2.2. Allongement de l’intervalle QT et torsades de pointes](http://www.cbip.be/fr/contents/9990169). 
    - Aussi bouche sèche.  
  - Itopride: les données de sécurité sont très limitées. Le RCP ne mentionne pas d’effets indésirables extrapyramidaux ni d’allongement de l’intervalle QT. 
 

**_Grossesse et allaitement_**

  
  - [Voir 3.4. Antiémétiques](http://www.cbip.be/fr/contents/2816) 
 

**_Interactions_**

  
  - Accélération de la vidange gastrique, avec ralentissement de la vitesse d'absorption de certains médicaments (p.ex. la digoxine) et accélération de l'absorption d’autres médicaments (p.ex. l’acide acétylsalicylique, la ciclosporine, le paracétamol). 
  - Diminution de l’effet des gastroprocinétiques en cas d’association à des médicaments ayant des propriétés anticholinergiques. 
  - Renforcement des effets indésirables des antipsychotiques. 
  - Métoclopramide et alizapride: diminution de l’effet de la lévodopa et des agonistes dopaminergiques, sédation exagérée en association à d’autres médicaments avec un effet sédatif ou à l’alcool. 
  - Le métoclopramide est un substrat du CYP2D6 ([voir % dans Intro.6.3. Interactions des médicaments](http://www.cbip.be/fr/contents/9990243#cyp)). 
  - Dompéridone: risque accru de torsades de pointes en cas d’association à d’autres médicaments augmentant le risque d'allongement de l’intervalle QT ([voir Intro.6.2.2. Allongement de l’intervalle QT et torsades de pointes](http://www.cbip.be/fr/contents/9990169)). 
  - La dompéridone est un substrat du CYP3A4 et de la P-gp ([voir % dans Intro.6.3. Interactions des médicaments](http://www.cbip.be/fr/contents/9990243#cyp) _et_ [% dans Intro.6.3. Interactions des médicaments](http://www.cbip.be/fr/contents/9990243#pgp)). L’utilisation concomitante avec d’autres médicaments allongeant l’intervalle QT et avec des inhibiteurs puissants du CYP3A4 est contre-indiquée. 
 

**_Précautions particulières_**

  
  - Dompéridone: vu le risque d'allongement de l'intervalle QT, la prudence s'impose chez les personnes âgées et les patients présentant des troubles électrolytiques ou une cardiopathie sous-jacente (_voir rubrique “Effets indésirables”_). 
  - Il est préférable de ne pas utiliser le métoclopramide chez les enfants et les adolescents en raison du risque accru de troubles extrapyramidaux dans ces tranches d’âge. La dose chez l’adulte (quelle que soit la voie d’administration) ne doit pas dépasser 10 mg 3 fois par jour, et la durée de traitement est de maximum 5 jours [[voir Folia d'octobre 2013](http://www.cbip.be/fr/articles/query?number=F40F10D)]. Chez les personnes de plus de 60 ans, une demi-dose est préférable. 
  - Itopride: la dose doit être réduite en cas d’apparition d’effets indésirables chez des patients atteints d’insuffisance hépatique ou rénale. 
 ";
"0002840";"CDAA";true;"Alizapride";;"_per os_     
adulte: 150 à 300 mg p.j. en 2 à 3 prises   "
"0002857";"CDAB";true;"Dompéridone";;"_per os_     
adulte et adolescent à partir de 35 kg: jusqu’à maximum 30 mg p.j. en 3 prises   "
"8904096";"CDAC";true;"Itopride";;"adultes: 50 mg 3 fois p.j. avant le repas"
"0002865";"CDAD";true;"Métoclopramide";;"_per os_: 15 à 30 mg p.j. en 3 prises. Personnes de plus de 60 ans : 7,5 mg par jour en 3 prises."
"0016402";"TBA";false;"Orlistat";;
"0002915";"CDB";false;"Antagonistes 5HT<SUB>3</SUB>";"**_Positionnement_**

  
  - [Voir 3.4. Antiémétiques](http://www.cbip.be/fr/contents/2816) 
 

**_Indications (synthèse du RCP)_**

  
  - Prévention et traitement des nausées et vomissements postopératoires ou induits par la chimiothérapie ou la radiothérapie. 
 

**_Contre-indications_**

  
  - Facteurs de risque d'allongement de l'intervalle QT ([voir Intro.6.2.2. Allongement de l’intervalle QT et torsades de pointes](http://www.cbip.be/fr/contents/9990169)), en particulier avec l’ondansétron à dose élevée par voie intraveineuse. 
 

**_Effets indésirables_**

  
  - Céphalées, bouffées de chaleur. 
  - Constipation, hoquet, augmentation transitoire des transaminases. 
  - Allongement de l'intervalle QT, avec risque de torsades de pointes, en particulier avec l’ondansétron à dose élevée par voie intraveineuse (pour les facteurs de risque des torsades de pointes en général, [voir Intro.6.2.2. Allongement de l’intervalle QT et torsades de pointes](http://www.cbip.be/fr/contents/9990169)). 
 

**_Grossesse et allaitement_**

  
  - [Voir 3.4. Antiémétiques](http://www.cbip.be/fr/contents/2816) 
  - Dans les formes sévères d’hyperemesis gravidarum, l’ondansétron est parfois utilisé “off-label”. **L’usage de l’ondansétron pendant le premier trimestre de la grossesse est déconseillé, des données suggérant un risque de malformations oro-faciales.** Un risque de malformation cardiaque n’est pas exclu [[voir Folia de février 2020](http://www.cbip.be/fr/articles/query?number=F47F02C)]. 
 

**_Interactions_**

  
  - Risque accru de torsades de pointes en cas d’association à d’autres médicaments augmentant le risque d’allongement de l’intervalle QT ([voir Intro.6.2.2. Allongement de l’intervalle QT et torsades de pointes](http://www.cbip.be/fr/contents/9990169)), en particulier avec l’ondansétron à dose élevée par voie intraveineuse. 
  - Le granisétron est un substrat du CYP3A4, l’ondansétron un substrat du CYP1A2 et de la P-gp, et le palonosétron un substrat du CYP2D6 ([voir % dans Intro.6.3. Interactions des médicaments](http://www.cbip.be/fr/contents/9990243#cyp) _et_ [% dans Intro.6.3. Interactions des médicaments](http://www.cbip.be/fr/contents/9990243#pgp)). 
 ";
"0002923";"CDBA";true;"Granisétron";;
"0002931";"CDBB";true;"Ondansétron";;
"0002949";"CDBC";true;"Palonosétron";;
"0002956";"CDBD";true;"Tropisétron";;
"0021105";"DABAA";true;"Ipratropium";;"- adulte: asthme (_à la demande_) et BPCO (_à la demande_): 
 
_- sol. inhal. (flacon press.)_: 3 à 4 x p.j. 40 µg 
_- sol. inhal. nébul._: jusqu'à 4 x p.j. 0,25 à 0,50 mg 
  - enfant: asthme (_à la demande_): 

- _sol. inhal. (flacon press._; _0-3 ans: +chambre d’expansion +masque, 4-6 ans: +chambre d’expansion_): 3 à 4 x p.j. 40 µg
- _sol. inhal. nébul._: 0 à 5 ans 2 x p.j. 0,25 à 0,50 mg; 5 à 18 ans 2 x p.j. 0,50 mg"
"0003640";"DABB";false;"Anticholinergiques à longue durée d’action (LAMA)";;
"0020362";"DABBA";true;"Aclidinium";;"traitement d’entretien de la BPCO: 2 x p.j. 322 µg"
"0002964";"CDC";false;"Antagonistes NK<SUB>1</SUB>";"L’aprépitant et le nétupitant (disponible uniquement en association, [voir 3.4.4. Associations d’antiémétiques](http://www.cbip.be/fr/contents/25544)) sont des antagonistes de la _substance P_ au niveau des récepteurs de la neurokinine-1 (NK1). Le fosaprépitant est une prodrogue qui est rapidement transformée en aprépitant.
 

**_Positionnement_**

  
  - [Voir 3.4. Antiémétiques](http://www.cbip.be/fr/contents/2816) 
 

**_Indications (synthèse du RCP)_**

  
  - Nausées et vomissements induits par certaines chimiothérapies hautement émétisantes, en association à un antagoniste 5HT3 et à un corticostéroïde. 
 

**_Effets indésirables_**

  
  - Céphalées, asthénie, hoquet, constipation, diarrhée, élévation des transaminases. 
  - Fosaprépitant: aussi réactions au site d'injection. 
 

**_Grossesse et allaitement_**

  
  - Il n’est pas possible de se prononcer sur la sécurité d’emploi de ces préparations pendant la grossesse et l’allaitement (données insuffisantes).  
 

**_Interactions_**

  
  - L'aprépitant et le fosaprépitant sont des substrats et des inhibiteurs du CYP3A4, et des inducteurs du CYP2C9 ([voir % dans Intro.6.3. Interactions des médicaments](http://www.cbip.be/fr/contents/9990243#cyp)) avec, par induction du CYP2C9, diminution de l’effet des antagonistes de la vitamine K. [Voir aussi Folia de novembre 2021](http://www.cbip.be/fr/articles/query?number=F48F11B) (incluant des recommandations) pour les interactions liées à la contraception hormonale. 
 ";
"0002972";"CDCA";true;"Spécialités [Antagonistes NK1]";;
"0025544";"CDD";false;"Associations d’antiémétiques";"**_Positionnement_**

  
  - [Voir 3.4. Antiémétiques](http://www.cbip.be/fr/contents/2816) 
  - Le palonosétron est un antagoniste 5HT3 ([voir 3.4.2. Antagonistes 5HT3](http://www.cbip.be/fr/contents/2915)). 
  - Le nétupitant est un antagoniste NK1 qui n’est actuellement disponible qu’en association. 
 

**_Indications (synthèse du RCP)_**

  
  - Nausées et vomissements induits par certaines chimiothérapies hautement ou modérément émétisantes. 
 

**_Contre-indications, effets indésirables et précautions particulières_**

  
  - Ceux de chaque substance ([voir 3.4.2. Antagonistes 5HT3](http://www.cbip.be/fr/contents/2915) _et_ [3.4.3. Antagonistes NK1](http://www.cbip.be/fr/contents/2964)). 
  - **Nétupitant: grossesse.** 
 

**_Grossesse et allaitement_**

  
  - [Voir 3.4.2. Antagonistes 5HT3](http://www.cbip.be/fr/contents/2915) 
  - Nétupitant: contre-indiqué pendant la grossesse. Les femmes en âge de procréer doivent prendre une contraception jusqu’à un mois après l’arrêt du traitement. 
 

**_Interactions_**

  
  - Le nétupitant est un substrat et un inhibiteur du CYP3A4 ([voir % dans Intro.6.3. Interactions des médicaments](http://www.cbip.be/fr/contents/9990243#cyp)). 
 ";
"0025551";"CDDA";true;"Spécialités [Associations d’antiémétiques]";;
"0002980";"CE";false;"Laxatifs";"Ce chapitre reprend:
  
  - les laxatifs de lest 
  - la paraffine liquide 
  - les laxatifs osmotiques 
  - les laxatifs de contact 
  - le prucalopride 
  - le linaclotide 
  - les laxatifs à usage rectal 
  - des associations de laxatifs. 
 
En cas de constipation due à l’usage chronique d’opioïdes, on utilise parfois la méthylnaltrexone ([voir 8.4. Antagonistes opioïdes](http://www.cbip.be/fr/contents/6734)) ou l’association d’oxycodone + naloxone ([voir 8.3.2. Associations](http://www.cbip.be/fr/contents/6718)).
 

**_Positionnement_**

  
  - [Voir Folia de juillet 2006](http://www.cbip.be/fr/articles/query?number=F33F07B). 
  - Dans la constipation, la prise en charge consiste d'abord à adopter des mesures diététiques adéquates (p.ex. augmentation de la consommation de fibres), une hydratation et une activité physique suffisantes, à ne pas ignorer le besoin de défécation et à prendre le temps nécessaire aux toilettes. 
  - L’utilisation de laxatifs ne se justifie qu’après avoir recherché une étiologie éventuelle. 
  - Les laxatifs sont indiqués lorsque l’effort à fournir lors de la défécation est néfaste pour le patient (p.ex. en cas d’hernie inguinale). Ils peuvent aussi être utiles en cas de constipation due à des médicaments, par exemple lors de l’utilisation d’opioïdes chez des patients en soins palliatifs. Les laxatifs sont également utilisés préalablement à une intervention chirurgicale, une endoscopie ou une imagerie. L’utilisation prolongée de laxatifs est rarement nécessaire, sauf parfois chez les personnes âgées et les personnes atteintes d’une affection neurologique. 
  - La place exacte de bon nombre de produits mentionnés ici n’est pas claire. Les laxatifs osmotiques sont les mieux étudiés. 
  - La paraffine, le macrogol avec des électrolytes et les laxatifs à usage rectal peuvent être utilisés en présence de fécalomes. 
  - L'usage chronique de laxatifs irritant l’intestin, tels que les laxatifs de contact, peut être responsable de troubles électrolytiques et d’une perturbation de la fonction rénale, et est dès lors à déconseiller, en particulier chez les personnes âgées ou en cas d’insuffisance rénale. 
  - La place exacte du prucalopride [[voir Folia de janvier 2016](http://www.cbip.be/fr/articles/query?number=F43F01B)] et du linaclotide [[voir Folia de janvier 2017](http://www.cbip.be/fr/articles/query?number=F44F01D)] n’est pas claire en raison du manque d’études comparatives avec d’autres produits. 
  - Lors de l’usage chronique d’opioïdes puissants, il est préférable d’administrer préventivement des laxatifs [[voir Folia de janvier 2003](http://www.cbip.be/fr/articles/query?number=F30F01C)]; la méthylnaltrexone ([voir 8.4. Antagonistes opioïdes](http://www.cbip.be/fr/contents/6734)) ou l'association d'oxycodone + naloxone ([voir 8.3.2. Associations](http://www.cbip.be/fr/contents/6718)) ont aussi cette indication dans le RCP, sans preuve de supériorité par rapport aux laxatifs. 
  - Les opioïdes peu puissants, le fer et le calcium ainsi que les médicaments avec propriétés anticholinergiques ([voir Intro.6.2.3. Effets indésirables anticholinergiques](http://www.cbip.be/fr/contents/9990177)) peuvent également provoquer de la constipation. 
 

**_Grossesse et allaitement_**

  
  - [Voir Folia de juillet 2018](http://www.cbip.be/fr/articles/query?number=F45F07C) 
  - L’effet des laxatifs de lest, du lactulose, du lactitol, du sorbitol et des macrogols sur la constipation pendant la grossesse et la période d’allaitement est bien démontré. Les données d’utilisation pendant la grossesse et l’allaitement sont rassurantes (pas de signal de malformations congénitales ou d’autres effets indésirables chez l’enfant selon nos sources). 
  - La paraffine liquide et le bisacodyl ne sont à utiliser que ponctuellement en cas d’échec des laxatifs de lest ou osmotiques, en cas de constipation sévère, et ceci pour une très courte période. 
  - Les laxatifs à base de sels minéraux et la plupart des laxatifs de contact sont déconseillés pendant la grossesse et la période d’allaitement. 
 

**_Interactions_**

  
  - Risque de diminution de l'absorption de divers médicaments, mais ceci pose peu de problèmes en pratique. En cas de diarrhée aqueuse sévère due au laxatif, l'absorption des contraceptifs oraux et des contraceptifs d'urgence au lévonorgestrel ou à l’ulipristal peut être réduite [[voir Folia de novembre 2021](http://www.cbip.be/fr/articles/query?number=F48F11B), incluant des recommandations pour éviter l'interaction]. 
 ";
"0002998";"CEA";false;"Laxatifs de lest";"L'augmentation du volume du bol fécal stimule l'activité motrice du côlon; cette augmentation peut être obtenue soit par une alimentation plus riche en fibres, soit par la prise de polysaccharides non digestibles, et ce en présence d'un apport hydrique suffisant.
 

**_Positionnement_**

  
  - [Voir 3.5. Laxatifs](http://www.cbip.be/fr/contents/2980) 
 

**_Indications (synthèse du RCP)_**

  
  - Constipation. 
 

**_Contre-indications_**

  
  - Obstruction ou perforation intestinale, mégacôlon toxique. 
 

**_Effets indésirables_**

  
  - Flatulence, crampes abdominales. 
  - Déshydratation et troubles électrolytiques. 
  - Obstruction œsophagienne et intestinale, le plus souvent en cas d’apport hydrique insuffisant, surtout chez les personnes âgées ou atteintes de lésions sténosantes. 
 

**_Grossesse et allaitement et interactions_**

  
  - [Voir 3.5. Laxatifs](http://www.cbip.be/fr/contents/2980) 
 

**_Précautions particulières_**

  
  - En cas d’impaction fécale, les laxatifs de lest ne sont pas indiqués. 
  - La teneur en sodium des préparations effervescentes (comprimés, poudres, granulés) peut poser des problèmes chez les patients devant suivre un régime pauvre en sel strict. 
 ";
"0003004";"CEAA";true;"Spécialités [Laxatifs de lest]";;
"0003012";"CEB";false;"Paraffine liquide";"La paraffine ramollit et lubrifie les selles et les fécalomes.
 

**_Positionnement_**

  
  - [Voir 3.5. Laxatifs](http://www.cbip.be/fr/contents/2980) 
 

**_Indications (synthèse du RCP)_**

  
  - Utilisation à court terme pour prévenir un fécalome (p.ex. après un repas baryté). 
  - Constipation avec fécalome. 
 

**_Contre-indications_**

  
  - Obstruction ou perforation intestinale, mégacôlon toxique. 
  - Personnes âgées, patients débilités, nourrissons, jeunes enfants et patients avec des troubles de la déglutition, en raison du risque de pneumonie graisseuse. 
 

**_Effets indésirables_**

  
  - Flatulence, crampes abdominales. 
  - Déshydratation et troubles électrolytiques. 
  - Pneumonie graisseuse, surtout chez les personnes avec des troubles de la déglutition et chez les très jeunes enfants. 
 

**_Grossesse et allaitement et interactions_**

  
  - [Voir 3.5. Laxatifs](http://www.cbip.be/fr/contents/2980) 
 ";
"0003020";"CEBA";true;"Spécialités [Paraffine liquide]";;
"0003038";"CEC";false;"Laxatifs osmotiques";;
